fs_t	fs	rho_t	rho	k_t	k	cp_t	cp
25	1	25	2673.97	25	184.72309	25	889
30	1	30	2673.12	30	184.99017	30	892.4
35	1	35	2672.27	35	185.23398	35	895.8
40	1	40	2671.41	40	185.45575	40	899
45	1	45	2670.55	45	185.65661	45	902.2
50	1	50	2669.69	50	185.83763	50	905.2
55	1	55	2668.82	55	185.99983	55	908.2
60	1	60	2667.96	60	186.14413	60	911.2
65	1	65	2667.08	65	186.27144	65	914
70	1	70	2666.21	70	186.38257	70	916.8
75	1	75	2665.33	75	186.47832	75	919.6
80	1	80	2664.45	80	186.55941	80	922.2
85	1	85	2663.56	85	186.62654	85	924.8
90	1	90	2662.67	90	186.68038	90	927.6
95	1	95	2661.78	95	186.72152	95	930
100	1	100	2660.88	100	186.75056	100	932.8
105	1	105	2659.98	105	186.76806	105	935
110	1	110	2659.08	110	186.77452	110	937.6
115	1	115	2658.17	115	186.77044	115	940
120	1	120	2657.27	120	186.75629	120	942.4
125	1	125	2656.35	125	186.73252	125	944.8
130	1	130	2655.44	130	186.69953	130	947
135	1	135	2654.52	135	186.65773	135	949.4
140	1	140	2653.6	140	186.6075	140	951.8
145	1	145	2652.67	145	186.54918	145	954
150	1	150	2651.74	150	186.48313	150	956.2
155	1	155	2650.81	155	186.40966	155	958.6
160	1	160	2649.87	160	186.32909	160	960.6
165	1	165	2648.94	165	186.24169	165	963
170	1	170	2647.99	170	186.14776	170	965
175	1	175	2647.05	175	186.04755	175	967.4
180	1	180	2646.1	180	185.94131	180	969.4
185	1	185	2645.15	185	185.8293	185	971.6
190	1	190	2644.19	190	185.71173	190	973.6
195	1	195	2643.24	195	185.58882	195	976
200	1	200	2642.28	200	185.46078	200	978
205	1	205	2641.31	205	185.3278	205	980
210	1	210	2640.34	210	185.19009	210	982.2
215	1	215	2639.37	215	185.04781	215	984.4
220	1	220	2638.4	220	184.90115	220	986.4
225	1	225	2637.42	225	184.75026	225	988.4
230	1	230	2636.44	230	184.5953	230	990.6
235	1	235	2635.46	235	184.43643	235	992.6
240	1	240	2634.47	240	184.27378	240	994.8
245	1	245	2633.48	245	184.1075	245	996.6
250	1	250	2632.48	250	183.93772	250	999
255	1	255	2631.49	255	183.76456	255	1000.8
260	1	260	2630.49	260	183.58814	260	1003
265	1	265	2629.49	265	183.40858	265	1005
270	1	270	2628.48	270	183.22598	270	1007
275	1	275	2627.47	275	183.04047	275	1009.2
280	1	280	2626.46	280	182.85213	280	1011.2
285	1	285	2625.44	285	182.66106	285	1013.2
290	1	290	2624.42	290	182.46736	290	1015.2
295	1	295	2623.4	295	182.27112	295	1017.4
300	1	300	2622.38	300	182.07242	300	1019.4
305	1	305	2621.35	305	181.87135	305	1021.4
310	1	310	2620.32	310	181.66797	310	1023.6
315	1	315	2619.28	315	181.46238	315	1025.4
320	1	320	2618.24	320	181.25464	320	1027.6
325	1	325	2617.2	325	181.04481	325	1029.8
330	1	330	2616.16	330	180.83298	330	1031.8
335	1	335	2615.11	335	180.61919	335	1033.8
340	1	340	2614.06	340	180.40353	340	1035.8
345	1	345	2613.01	345	180.18603	345	1038
350	1	350	2611.95	350	179.96676	350	1040
355	1	355	2610.89	355	179.74578	355	1042
360	1	360	2609.83	360	179.52313	360	1044.2
365	1	365	2608.76	365	179.29887	365	1046.2
370	1	370	2607.7	370	179.07304	370	1048.4
375	1	375	2606.62	375	178.8457	375	1050.4
380	1	380	2605.55	380	178.61688	380	1052.6
385	1	385	2604.47	385	178.38664	385	1054.6
390	1	390	2603.39	390	178.155	390	1056.8
395	1	395	2602.31	395	177.92201	395	1058.8
400	1	400	2601.22	400	177.68772	400	1061
405	1	405	2600.13	405	177.45215	405	1063.2
410	1	410	2599.04	410	177.21534	410	1065.2
415	1	415	2597.94	415	176.97732	415	1067.2
420	1	420	2596.84	420	176.73813	420	1069.6
425	1	425	2595.74	425	176.4978	425	1071.6
430	1	430	2594.63	430	176.25637	430	1073.8
435	1	435	2593.53	435	176.01385	435	1076
440	1	440	2592.41	440	175.77027	440	1078.6
445	1	445	2591.3	445	175.52567	445	1080.8
450	1	450	2590.18	450	175.28007	450	1083.2
455	1	455	2589.06	455	175.0335	455	1085.8
460	1	460	2587.94	460	174.78597	460	1088.2
465	1	465	2586.81	465	174.53752	465	1090.8
470	1	470	2585.68	470	174.28816	470	1093.6
475	1	475	2584.55	475	174.03792	475	1096.4
480	1	480	2583.42	480	173.78681	480	1099
485	1	485	2582.28	485	173.53486	485	1101.8
