fs_t	fs	rho_t	rho	k_t	k	cp_t	cp
25	1	25	7944.71	25	15.94486	25	447
30	1	30	7943.06	30	16.01022	30	448.8
35	1	35	7941.4	35	16.07557	35	450.6
40	1	40	7939.75	40	16.14091	40	452.4
45	1	45	7938.09	45	16.20624	45	454.2
50	1	50	7936.43	50	16.27155	50	455.8
55	1	55	7934.77	55	16.33685	55	457.6
60	1	60	7933.1	60	16.40215	60	459.4
65	1	65	7931.43	65	16.46743	65	460.8
70	1	70	7929.76	70	16.5327	70	462.4
75	1	75	7928.08	75	16.59796	75	464.2
80	1	80	7926.41	80	16.66322	80	465.6
85	1	85	7924.73	85	16.72846	85	467.2
90	1	90	7923.05	90	16.79369	90	468.8
95	1	95	7921.36	95	16.85891	95	470.4
100	1	100	7919.67	100	16.92413	100	471.8
105	1	105	7917.98	105	16.98933	105	473.2
110	1	110	7916.29	110	17.05452	110	474.8
115	1	115	7914.6	115	17.11971	115	476.4
120	1	120	7912.9	120	17.18488	120	477.8
125	1	125	7911.2	125	17.25005	125	479.2
130	1	130	7909.49	130	17.3152	130	480.8
135	1	135	7907.79	135	17.38035	135	482
140	1	140	7906.08	140	17.44549	140	483.6
145	1	145	7904.37	145	17.51062	145	485.2
150	1	150	7902.66	150	17.57574	150	486.4
155	1	155	7900.94	155	17.64086	155	488
160	1	160	7899.22	160	17.70596	160	489.4
165	1	165	7897.5	165	17.77106	165	490.8
170	1	170	7895.77	170	17.83615	170	492.4
175	1	175	7894.05	175	17.90124	175	493.6
180	1	180	7892.32	180	17.96631	180	495.2
185	1	185	7890.59	185	18.03138	185	496.6
190	1	190	7888.85	190	18.09644	190	498
195	1	195	7887.12	195	18.16149	195	499.6
200	1	200	7885.38	200	18.22654	200	501
205	1	205	7883.63	205	18.29158	205	502.4
210	1	210	7881.89	210	18.35661	210	504
215	1	215	7880.14	215	18.42164	215	505.2
220	1	220	7878.39	220	18.48666	220	507
225	1	225	7876.64	225	18.55168	225	508.2
230	1	230	7874.88	230	18.61669	230	509.8
235	1	235	7873.13	235	18.6817	235	511.4
240	1	240	7871.37	240	18.7467	240	512.8
245	1	245	7869.6	245	18.8117	245	514.2
250	1	250	7867.84	250	18.87669	250	515.8
255	1	255	7866.07	255	18.94168	255	517.4
260	1	260	7864.3	260	19.00666	260	519
265	1	265	7862.52	265	19.07164	265	520.4
270	1	270	7860.75	270	19.13662	270	522
275	1	275	7858.97	275	19.2016	275	523.6
280	1	280	7857.19	280	19.26657	280	525.2
285	1	285	7855.4	285	19.33155	285	526.6
290	1	290	7853.62	290	19.39652	290	528.4
295	1	295	7851.83	295	19.46149	295	530
300	1	300	7850.04	300	19.52646	300	531.4
305	1	305	7848.24	305	19.59143	305	533.2
310	1	310	7846.45	310	19.6564	310	535
315	1	315	7844.65	315	19.72137	315	536.4
320	1	320	7842.85	320	19.78634	320	538.2
325	1	325	7841.04	325	19.85131	325	540
330	1	330	7839.23	330	19.91628	330	541.6
335	1	335	7837.42	335	19.98126	335	543.2
340	1	340	7835.61	340	20.04624	340	545
345	1	345	7833.8	345	20.11122	345	546.8
350	1	350	7831.98	350	20.1762	350	548.6
355	1	355	7830.16	355	20.24119	355	550.4
360	1	360	7828.34	360	20.30618	360	552.2
365	1	365	7826.51	365	20.37117	365	554
370	1	370	7824.68	370	20.43617	370	555.8
375	1	375	7822.85	375	20.50117	375	557.8
380	1	380	7821.02	380	20.56617	380	559.6
385	1	385	7819.19	385	20.63118	385	561.4
390	1	390	7817.35	390	20.69619	390	563.4
395	1	395	7815.51	395	20.7612	395	565.4
400	1	400	7813.66	400	20.82622	400	567.4
405	1	405	7811.82	405	20.89124	405	569.2
410	1	410	7809.97	410	20.95626	410	571.4
415	1	415	7808.12	415	21.02128	415	573.4
420	1	420	7806.27	420	21.0863	420	575.4
425	1	425	7804.41	425	21.15132	425	577.6
430	1	430	7802.55	430	21.21634	430	579.6
435	1	435	7800.69	435	21.28136	435	581.8
440	1	440	7798.83	440	21.34638	440	584
445	1	445	7796.96	445	21.41139	445	586.2
450	1	450	7795.09	450	21.4764	450	588.4
455	1	455	7793.22	455	21.5414	455	590.8
460	1	460	7791.35	460	21.6064	460	593
465	1	465	7789.47	465	21.67139	465	595.4
470	1	470	7787.59	470	21.73637	470	597.8
475	1	475	7785.71	475	21.80134	475	600
480	1	480	7783.83	480	21.8663	480	602.6
485	1	485	7781.94	485	21.93125	485	605.2
490	1	490	7780.05	490	21.99619	490	607.6
495	1	495	7778.16	495	22.06111	495	610.2
500	1	500	7776.27	500	22.12601	500	612.8
505	1	505	7774.37	505	22.1909	505	615.6
510	1	510	7772.47	510	22.25577	510	618.2
515	1	515	7770.57	515	22.32062	515	621
520	1	520	7768.67	520	22.38546	520	623.8
525	1	525	7766.76	525	22.45027	525	626.6
530	1	530	7764.85	530	22.51506	530	629.6
535	1	535	7762.94	535	22.57982	535	632.6
540	1	540	7761.02	540	22.64457	540	635.6
545	1	545	7759.11	545	22.70929	545	638.8
550	1	550	7757.19	550	22.77399	550	642
555	1	555	7755.27	555	22.83866	555	645.2
560	1	560	7753.34	560	22.90331	560	648.6
565	1	565	7751.41	565	22.96794	565	652
570	1	570	7749.48	570	23.03254	570	655.6
575	1	575	7747.55	575	23.09712	575	659
580	1	580	7745.62	580	23.16167	580	662.8
585	1	585	7743.68	585	23.2262	585	666.4
590	1	590	7741.74	590	23.29071	590	670.4
595	1	595	7739.8	595	23.3552	595	674.4
600	1	600	7737.86	600	23.41966	600	678.4
605	1	605	7735.91	605	23.48411	605	682.6
610	1	610	7733.96	610	23.54853	610	687
615	1	615	7732.01	615	23.61294	615	691.4
620	1	620	7730.05	620	23.67733	620	695.8
625	1	625	7728.1	625	23.7417	625	700.6
630	1	630	7726.14	630	23.80605	630	705.6
635	1	635	7724.17	635	23.8704	635	710.6
640	1	640	7722.21	640	23.93473	640	715.6
645	1	645	7720.24	645	23.99904	645	721
650	1	650	7718.27	650	24.06335	650	726.6
655	1	655	7716.3	655	24.12765	655	732.2
660	1	660	7714.33	660	24.19194	660	738.2
665	1	665	7712.35	665	24.25622	665	744.4
670	1	670	7710.37	670	24.3205	670	750.6
675	1	675	7708.39	675	24.38478	675	732.8
680	1	680	7706.4	680	24.44905	680	696
685	1	685	7704.42	685	24.51332	685	691
690	1	690	7702.43	690	24.57758	690	686.2
695	1	695	7700.44	695	24.64185	695	681.8
700	1	700	7698.44	700	24.70612	700	678.2
705	1	705	7696.44	705	24.77039	705	674.6
710	1	710	7694.44	710	24.83467	710	671.2
715	1	715	7692.44	715	24.89895	715	668.4
720	1	720	7690.44	720	24.96323	720	665.8
725	1	725	7688.43	725	25.02751	725	663.2
730	1	730	7686.42	730	25.0918	730	661
735	1	735	7684.41	735	25.1561	735	658.8
740	1	740	7682.4	740	25.2204	740	657
745	1	745	7680.38	745	25.28471	745	655.4
750	1	750	7678.36	750	25.34902	750	653.8
755	1	755	7676.34	755	25.41334	755	652.2
760	1	760	7674.32	760	25.47767	760	651
765	1	765	7672.29	765	25.542	765	649.8
770	1	770	7670.26	770	25.60634	770	648.6
775	1	775	7668.23	775	25.67068	775	647.8
780	1	780	7666.2	780	25.73504	780	646.8
785	1	785	7664.16	785	25.79939	785	646
790	1	790	7662.12	790	25.86376	790	645.2
