fs_t	fs	rho_t	rho	k_t	k	cp_t	cp
25	1	25	7862.18	25	67.91775	25	450.93
30	1	30	7860.74	30	67.5726	30	453.09
35	1	35	7859.29	35	67.22821	35	455.21
40	1	40	7857.84	40	66.88461	40	457.3
45	1	45	7856.39	45	66.5418	45	459.36
50	1	50	7854.93	50	66.19982	50	461.4
55	1	55	7853.47	55	65.85868	55	463.41
60	1	60	7852.01	60	65.5184	60	465.41
65	1	65	7850.54	65	65.17901	65	467.38
70	1	70	7849.07	70	64.84051	70	469.35
75	1	75	7847.59	75	64.50293	75	471.3
80	1	80	7846.11	80	64.16629	80	473.23
85	1	85	7844.63	85	63.83061	85	475.16
90	1	90	7843.14	90	63.49591	90	477.08
95	1	95	7841.65	95	63.1622	95	478.99
100	1	100	7840.16	100	62.8295	100	480.9
105	1	105	7838.66	105	62.49784	105	482.8
110	1	110	7837.16	110	62.16723	110	484.7
115	1	115	7835.65	115	61.83768	115	486.59
120	1	120	7834.14	120	61.50922	120	488.49
125	1	125	7832.63	125	61.18187	125	490.39
130	1	130	7831.11	130	60.85564	130	492.28
135	1	135	7829.59	135	60.53055	135	494.19
140	1	140	7828.07	140	60.20662	140	496.09
145	1	145	7826.54	145	59.88386	145	498
150	1	150	7825.01	150	59.56229	150	499.91
155	1	155	7823.47	155	59.24193	155	501.83
160	1	160	7821.93	160	58.9228	160	503.76
165	1	165	7820.39	165	58.60491	165	505.69
170	1	170	7818.85	170	58.28828	170	507.64
175	1	175	7817.3	175	57.97292	175	509.59
180	1	180	7815.74	180	57.65885	180	511.55
185	1	185	7814.19	185	57.3461	185	513.52
190	1	190	7812.63	190	57.03466	190	515.51
195	1	195	7811.06	195	56.72456	195	517.5
200	1	200	7809.49	200	56.41582	200	519.51
205	1	205	7807.92	205	56.10845	205	521.53
210	1	210	7806.35	210	55.80246	210	523.56
215	1	215	7804.77	215	55.49787	215	525.61
220	1	220	7803.19	220	55.1947	220	527.68
225	1	225	7801.6	225	54.89296	225	529.75
230	1	230	7800.01	230	54.59266	230	531.85
235	1	235	7798.42	235	54.29382	235	533.96
240	1	240	7796.82	240	53.99645	240	536.09
245	1	245	7795.22	245	53.70058	245	538.23
250	1	250	7793.62	250	53.4062	250	540.4
255	1	255	7792.01	255	53.11334	255	542.58
260	1	260	7790.4	260	52.82201	260	544.78
265	1	265	7788.78	265	52.53222	265	547
270	1	270	7787.16	270	52.24398	270	549.24
275	1	275	7785.54	275	51.95732	275	551.5
280	1	280	7783.92	280	51.67223	280	553.78
285	1	285	7782.29	285	51.38875	285	556.09
290	1	290	7780.65	290	51.10686	290	558.41
295	1	295	7779.02	295	50.8266	295	560.76
300	1	300	7777.38	300	50.54797	300	563.13
305	1	305	7775.73	305	50.27099	305	565.53
310	1	310	7774.09	310	49.99566	310	567.95
315	1	315	7772.44	315	49.722	315	570.39
320	1	320	7770.78	320	49.45002	320	572.86
325	1	325	7769.12	325	49.17973	325	575.36
330	1	330	7767.46	330	48.91115	330	577.88
335	1	335	7765.8	335	48.64427	335	580.43
340	1	340	7764.13	340	48.37913	340	583
345	1	345	7762.46	345	48.11571	345	585.61
350	1	350	7760.78	350	47.85405	350	588.24
355	1	355	7759.1	355	47.59414	355	590.9
360	1	360	7757.42	360	47.336	360	593.59
365	1	365	7755.73	365	47.07963	365	596.32
370	1	370	7754.04	370	46.82505	370	599.07
375	1	375	7752.35	375	46.57227	375	601.86
380	1	380	7750.65	380	46.32129	380	604.67
385	1	385	7748.95	385	46.07213	385	607.53
390	1	390	7747.25	390	45.8248	390	610.41
395	1	395	7745.54	395	45.5793	395	613.33
400	1	400	7743.83	400	45.33564	400	616.29
405	1	405	7742.12	405	45.09383	405	619.28
410	1	410	7740.4	410	44.85388	410	622.31
415	1	415	7738.68	415	44.6158	415	625.38
420	1	420	7736.95	420	44.3796	420	628.49
425	1	425	7735.22	425	44.14528	425	631.64
430	1	430	7733.49	430	43.91285	430	634.83
435	1	435	7731.76	435	43.68233	435	638.06
440	1	440	7730.02	440	43.45371	440	641.33
445	1	445	7728.27	445	43.227	445	644.65
450	1	450	7726.53	450	43.00222	450	648.01
455	1	455	7724.78	455	42.77936	455	651.42
460	1	460	7723.03	460	42.55844	460	654.87
465	1	465	7721.27	465	42.33947	465	658.38
470	1	470	7719.51	470	42.12244	470	661.94
475	1	475	7717.75	475	41.90736	475	665.54
480	1	480	7715.98	480	41.69424	480	669.2
485	1	485	7714.21	485	41.4831	485	672.92
490	1	490	7712.44	490	41.27392	490	676.69
495	1	495	7710.66	495	41.06672	495	680.52
500	1	500	7708.88	500	40.8615	500	684.41
